shipment_id,order_id,carrier_name,warehouse_id,shipment_date,estimated_delivery_date,actual_delivery_date,shipping_mode,shipment_cost,delay_reason
SHIP-000223,ORD-000741,U.P.S.,wh-12,2025-08-10,Aug 16 2025,2025/08/15,Ground,37.92,
SHIP-000224,ORD-000309,FedEx,WH-41,2025-09-13,Sep 16 2025,2025-09-21,Ground,15.87,Weather Disruption
SHIP-000225,ORD-001402,Maersk Line,WH-35,2025-10-03,2025/10/03,,Ocean,21.31,Warehouse Processing Backlog
SHIP-000226,ORD-000659,,WH-27,2025-05-16,2025/05/20,,Ground,24.21,Supplier Stock Shortage
SHIP-000227,ORD-001213,XPO,WH-58,2025/09/27,2025/10/03,Oct 01 2025,Ground,20.23,Weather Disruption
SHIP-000228,ORD-001619,dhl,WH-06,15-Jan-2026,2026-01-16,Jan 16 2026,Air,39.75,Documentation Error
SHIP-000229,ORD-000515,Aramex,wh05,May 03 2025,2025/05/04,May 14 2025,Express,55.17,Supplier Stock Shortage
SHIP-000230,ORD-001227,aramex,WH-41,2025-01-24,2025/01/24,28-Jan-2025,Ground,18.86,Weather Disruption
SHIP-000231,ORD-000314,dhl,WH-42,2025-01-22,Jan 24 2025,2025-01-25,Air,51.34,Customs Clearance Delay
SHIP-000232,ORD-001343,USPS,WH-21,2026-01-18,Jan 20 2026,21-Jan-2026,Ground,24.72,Vehicle Breakdown
SHIP-000233,ORD-000096,ups,WH-21,Oct 20 2025,2025/10/24,2025-10-24,Ground,16.81,
SHIP-000234,ORD-001059,Fed Ex,WH-27,Sep 17 2025,23-Sep-2025,Sep 24 2025,Express,54.19,Incorrect Address
SHIP-000235,ORD-001009,DHL Express,wh01,Apr 03 2026,Apr 09 2026,Apr 09 2026,Air,41.93,Incorrect Address
SHIP-000236,ORD-000528,U.S.P.S.,wh-08,Jul 05 2025,11-Jul-2025,2025-07-14,Ground,25.99,Vehicle Breakdown
SHIP-000237,ORD-000652,ARAMEX,Warehouse 59,Jan 10 2026,2026/01/15,2026/01/15,Ground,28.98,Weather Disruption
SHIP-000238,ORD-001538,UPS,wh-55,04-Apr-2025,Apr 07 2025,05-Apr-2025,Ground,22.19,
SHIP-000239,ORD-000825,BlueDart,WH-31,2025-08-09,13-Aug-2025,2025/08/12,Air,57.75,
SHIP-000240,ORD-001723,ups,WH-07,2026-03-06,2026-03-09,08-Mar-2026,Air,50.11,Carrier Capacity Shortage
SHIP-000241,ORD-000008,DHL Express,wh-14,2025/11/05,Nov 11 2025,2025-11-11,Express,55.55,Warehouse Processing Backlog
SHIP-000242,ORD-000102,U.S.P.S.,Warehouse 33,2025-12-03,2025-12-05,Dec 10 2025,Ground,24.66,Vehicle Breakdown
SHIP-000243,ORD-000420,ups,wh-44,Apr 19 2026,25-Apr-2026,2026/04/24,Ground,23.18,
SHIP-000244,ORD-001250,Fed Ex,wh36,Dec 04 2025,2025/12/10,10-Dec-2025,Air,46.98,
SHIP-000245,ORD-001709,FedEx,wh-23,2026-02-19,2026-02-20,2026-02-19,Express,49.76,Port Congestion
SHIP-000246,ORD-000838,FedEx,WH-12,2025-01-20,2025-01-24,2025-01-24,Air,60.13,Documentation Error
SHIP-000247,ORD-000693,UPS,wh-46,Nov 10 2025,2025-11-10,Nov 11 2025,Air,47.11,Carrier Capacity Shortage
SHIP-000248,ORD-001806,FEDEX,wh-18,Oct 27 2025,Oct 30 2025,29-Oct-2025,Express,68.92,Vehicle Breakdown
SHIP-000249,ORD-001294,,Warehouse 27,2025-09-27,05-Oct-2025,2025/10/05,Ground,28.83,Labor Shortage
SHIP-000250,ORD-000109,DHL,WH-58,Jul 29 2025,2025-08-01,Jul 29 2025,Air,47.63,Warehouse Processing Backlog
SHIP-000251,ORD-000282,DHL,WH-22,09-Nov-2025,2025-11-10,Nov 10 2025,Air,49.23,Customs Clearance Delay
SHIP-000252,ORD-001085,fedex,Warehouse 23,2025-04-18,2025/04/22,Apr 21 2025,Ground,28.98,Customs Clearance Delay
SHIP-000253,ORD-001348,XPO,wh-18,2025/10/20,2025-10-27,Oct 26 2025,Ground,31.42,Customs Clearance Delay
SHIP-000254,ORD-001848,dhl express,wh-14,2025-03-24,27-Mar-2025,25-Mar-2025,Express,55.45,Weather Disruption
SHIP-000255,ORD-000763,FedEx,WH-03,Jul 03 2025,2025/07/07,2025/07/05,Ground,30.6,
SHIP-000256,ORD-000757,dhl express,WH-13,2025-10-02,2025-10-05,2025-10-03,Express,59.69,Customs Clearance Delay
SHIP-000257,ORD-000431,U.P.S.,WH-12,26-May-2026,2026-05-31,2026-05-30,Air,53.06,
SHIP-000258,ORD-000061,dhl,Warehouse 20,Feb 12 2026,Feb 18 2026,2026-02-17,Air,54.62,Supplier Stock Shortage
SHIP-000259,ORD-001766,xpo logistics,WH-56,2025-07-12,13-Jul-2025,2025/07/13,Rail,18.34,
SHIP-000260,ORD-001052,DHL Express,WH-18,2025/12/28,2025-12-29,29-Dec-2025,Express,65.79,Weather Disruption
SHIP-000261,ORD-001316,dhl express,wh31,2025/10/31,2025/10/31,01-Nov-2025,Express,57.76,Incorrect Address
SHIP-000262,ORD-000471,Fed Ex,Warehouse 25,Jul 11 2025,2025/07/15,16-Jul-2025,Express,62.4,Vehicle Breakdown
SHIP-000263,ORD-000649,U.P.S.,WH-30,2025/05/22,May 30 2025,2025-05-28,Ground,24.43,Weather Disruption
SHIP-000264,ORD-001384,usps,WH-49,2025-05-23,May 24 2025,2025/05/25,Ground,25.9,
SHIP-000265,ORD-001605,dhl,wh43,Feb 13 2026,15-Feb-2026,2026/02/15,Air,45.32,Carrier Capacity Shortage
SHIP-000266,ORD-001530,DHL Express,WH-07,May 15 2026,2026/05/18,19-May-2026,Air,43.35,Incorrect Address
SHIP-000267,ORD-001566,FEDEX,Warehouse 37,2025-07-01,2025-07-07,12-Jul-2025,Express,54.41,Supplier Stock Shortage
SHIP-000268,ORD-000029,DHL Express,WH-35,2025-09-02,Sep 05 2025,2025-09-06,Express,60.35,Documentation Error
SHIP-000269,ORD-000225,Fed Ex,WH-01,15-Jan-2026,2026/01/15,15-Jan-2026,Ground,21.45,Incorrect Address
SHIP-000270,ORD-001276,DHL,WH-06,2025-10-12,Oct 18 2025,,Express,48.59,
SHIP-000271,ORD-000789,U.P.S.,wh35,2025/01/19,2025/01/21,20-Jan-2025,Ground,32.93,Vehicle Breakdown
SHIP-000272,ORD-001641,DHL,WH-44,2026-04-04,2026/04/03,Apr 05 2026,Air,42.9,Warehouse Processing Backlog
SHIP-000273,ORD-000345,UPS,Warehouse 18,2026/02/14,2026-02-20,Feb 23 2026,Air,50.54,Warehouse Processing Backlog
SHIP-000274,ORD-000928,FedEx,wh-54,Jan 21 2025,2025/01/24,2025/01/22,Express,70.5,Port Congestion
SHIP-000275,ORD-000735,USPS,Warehouse 13,Jun 14 2025,16-Jun-2025,16-Jun-2025,Ground,59.37,
SHIP-000276,ORD-000416,XPO,WH-59,2025/04/04,2025/04/07,2025-04-06,Rail,20.68,
SHIP-000277,ORD-000480,FEDEX,wh48,2026/03/02,Mar 09 2026,2026-03-09,Ground,33.08,
SHIP-000278,ORD-000099,U.P.S.,WH-42,22-May-2026,2026-05-28,May 27 2026,Air,50.64,Supplier Stock Shortage
SHIP-000279,ORD-001140,FEDEX,wh-07,02-Apr-2026,2026-04-05,Apr 03 2026,Ground,19.85,Port Congestion
SHIP-000280,ORD-000703,ARAMEX,WH-30,24-Apr-2025,2025/04/27,Apr 26 2025,Express,54.21,
SHIP-000281,ORD-000673,FedEx,wh-44,2025-04-02,08-Apr-2025,07-Apr-2025,Express,52.85,Documentation Error
SHIP-000282,ORD-001365,maersk,WH-58,2025-06-25,Jun 29 2025,2025-06-30,Ocean,27.68,Vehicle Breakdown
SHIP-000283,ORD-000013,U.P.S.,Warehouse 48,Dec 15 2025,2025-12-17,17-Dec-2025,Ground,38.94,Weather Disruption
SHIP-000284,ORD-001533,Blue Dart,wh-55,2026/04/17,2026/04/22,2026-04-20,Air,46.41,
SHIP-000285,ORD-001415,fedex,Warehouse 17,2026/02/19,2026-02-19,2026/02/20,Air,41.67,Labor Shortage
SHIP-000286,ORD-000168,Aramex,WH-51,Mar 19 2026,20-Mar-2026,Mar 20 2026,Ground,25.66,Customs Clearance Delay
SHIP-000287,ORD-000929,U.P.S.,wh43,2025-01-13,2025/01/17,2025/01/16,Ground,20.1,
SHIP-000288,ORD-001105,FedEx,WH-13,Jul 28 2025,2025-07-31,29-Jul-2025,Express,50.26,Supplier Stock Shortage
SHIP-000289,ORD-000189,usps,WH-52,2025/03/02,Mar 06 2025,2025-03-05,Ground,20.98,Port Congestion
SHIP-000290,ORD-000944,DHL,WH-51,2026/03/01,Mar 05 2026,,Air,44.65,
SHIP-000291,ORD-000044,,wh-41,2025/07/06,2025/07/13,Jul 13 2025,Air,51.31,
SHIP-000292,ORD-001713,aramex,WH-31,2025-09-17,21-Sep-2025,,Ground,29.03,
SHIP-000293,ORD-000010,XPO,Warehouse 26,2025/02/15,2025-02-16,2025-02-18,Ground,26.46,Documentation Error
SHIP-000294,ORD-001247,Fed Ex,wh56,11-Jun-2025,18-Jun-2025,2025-06-19,Air,44.08,Documentation Error
SHIP-000295,ORD-000148,Aramex,Warehouse 11,05-Sep-2025,Sep 07 2025,2025-09-08,Express,51.19,Weather Disruption
SHIP-000296,ORD-001444,ARAMEX,Warehouse 43,Mar 09 2025,2025/03/13,Mar 11 2025,Ground,24.15,Vehicle Breakdown
SHIP-000297,ORD-000014,FEDEX,Warehouse 23,03-Jun-2025,2025-06-04,2025/06/05,Air,46.69,Documentation Error
SHIP-000298,ORD-001596,U.S.P.S.,Warehouse 21,2025/02/28,01-Mar-2025,12-Mar-2025,Ground,24.75,Incorrect Address
SHIP-000299,ORD-000638,ups,WH-15,25-Apr-2025,2025/04/26,27-Apr-2025,Ground,27.07,Vehicle Breakdown
SHIP-000300,ORD-000821,BlueDart,WH-20,Jan 06 2025,2025/01/11,,Air,48.08,Carrier Capacity Shortage
SHIP-000301,ORD-001117,ups,WH-49,Mar 29 2026,2026/04/02,Apr 01 2026,Ground,28.39,
SHIP-000302,ORD-000604,dhl,WH-17,Jul 17 2025,18-Jul-2025,,Express,56.9,Documentation Error
SHIP-000303,ORD-001434,dhl,WH-07,Jun 01 2025,2025/06/05,2025-06-04,Express,59.76,
SHIP-000304,ORD-000375,aramex,wh-15,16-Sep-2025,17-Sep-2025,18-Sep-2025,Ground,19.06,Incorrect Address
SHIP-000305,ORD-000547,fedex,WH-23,07-Aug-2025,Aug 08 2025,Aug 08 2025,Express,48.29,
SHIP-000306,ORD-001610,FEDEX,WH-37,23-Jul-2025,2025-07-23,23-Jul-2025,Air,43.95,
SHIP-000307,ORD-001784,Blue Dart,WH-18,Mar 05 2025,04-Mar-2025,2025-03-08,Ground,31.99,Port Congestion
SHIP-000308,ORD-001763,Maersk Line,Warehouse 11,Aug 13 2025,2025/08/20,18-Aug-2025,Ocean,20.95,Vehicle Breakdown
SHIP-000309,ORD-000650,dhl,WH-56,2025-03-16,Mar 19 2025,2025-03-17,Express,52.37,
SHIP-000310,ORD-000331,dhl express,WH-43,Sep 12 2025,16-Sep-2025,22-Sep-2025,Air,44.73,Carrier Capacity Shortage
SHIP-000311,ORD-001775,DHL Express,WH-34,2026-02-23,2026/02/23,26-Feb-2026,Express,60.26,Carrier Capacity Shortage
SHIP-000312,ORD-001079,ARAMEX,wh20,08-Dec-2025,2025/12/11,09-Dec-2025,Ground,26.11,Weather Disruption
SHIP-000313,ORD-000379,dhl express,wh01,18-Nov-2025,Nov 22 2025,Nov 21 2025,Air,42.54,Incorrect Address
SHIP-000314,ORD-001480,usps,wh26,Oct 28 2025,2025-10-30,,Ground,18.51,Vehicle Breakdown
SHIP-000315,ORD-000700,,wh-19,2025-06-27,2025/07/03,Jul 05 2025,Express,59.5,Documentation Error
SHIP-000316,ORD-000708,DHL Express,Warehouse 24,2025/07/23,2025-07-26,2025-07-31,Express,52.21,Customs Clearance Delay
SHIP-000317,ORD-000116,U.S.P.S.,WH-09,24-Dec-2025,2025/12/24,29-Dec-2025,Ground,17.8,Customs Clearance Delay
SHIP-000318,ORD-000868,maersk,WH-45,2026/03/10,2026-03-16,2026/03/16,Ocean,12.75,
SHIP-000319,ORD-001286,bluedart,WH-37,2026/05/31,2026-06-08,,Ground,27.32,Customs Clearance Delay
SHIP-000320,ORD-000097,,wh27,Jun 30 2025,08-Jul-2025,2025/07/07,Air,45.43,
SHIP-000321,ORD-000451,,wh01,2026-03-18,25-Mar-2026,Mar 23 2026,Air,53.9,
SHIP-000322,ORD-000829,,Warehouse 8,2025/05/05,09-May-2025,May 10 2025,Ocean,19.94,Incorrect Address
SHIP-000323,ORD-001667,U.S.P.S.,WH-26,04-Jul-2025,Jul 05 2025,,Ground,22.21,Customs Clearance Delay
SHIP-000324,ORD-000100,dhl,WH-11,2026-04-16,2026-04-20,,Express,55.57,
SHIP-000325,ORD-001392,bluedart,wh42,2025-08-24,2025/08/27,2025/08/26,Air,64.83,Weather Disruption
SHIP-000326,ORD-000654,DHL,WH-48,Aug 03 2025,09-Aug-2025,Aug 10 2025,Express,50.72,Supplier Stock Shortage
SHIP-000327,ORD-001307,fedex,Warehouse 19,14-Mar-2026,2026/03/21,Mar 20 2026,Air,57.55,
SHIP-000328,ORD-000726,dhl express,wh-14,23-Oct-2025,2025/10/27,25-Oct-2025,Air,52.6,
SHIP-000329,ORD-001497,FedEx,Warehouse 40,Nov 25 2025,2025-11-28,,Ground,21.65,Incorrect Address
SHIP-000330,ORD-000661,U.S.P.S.,wh22,Dec 01 2025,06-Dec-2025,2025/12/05,Ground,28.59,Customs Clearance Delay
SHIP-000331,ORD-000859,XPO,Warehouse 49,2025-10-17,2025/10/20,18-Oct-2025,Rail,22.69,
SHIP-000332,ORD-000271,fedex,Warehouse 24,2025/07/12,2025-07-15,Jul 16 2025,Express,54.97,Labor Shortage
SHIP-000333,ORD-001749,maersk,wh55,2025-03-13,Mar 16 2025,17-Mar-2025,Ocean,17.65,Supplier Stock Shortage
SHIP-000334,ORD-000118,UPS,WH-25,2025/08/26,2025/08/28,27-Aug-2025,Air,55.44,Labor Shortage
SHIP-000335,ORD-001341,fedex,WH-29,2025/04/27,Apr 29 2025,29-Apr-2025,Air,48.77,Vehicle Breakdown
SHIP-000336,ORD-001644,U.P.S.,WH-27,2026-04-23,2026-04-29,Apr 29 2026,Air,44.0,Carrier Capacity Shortage
SHIP-000337,ORD-001689,U.P.S.,WH-59,01-Feb-2025,2025-02-08,Feb 10 2025,Ground,24.35,Warehouse Processing Backlog
SHIP-000338,ORD-000165,dhl express,WH-51,Jan 24 2026,2026-01-25,2026/01/25,Express,48.91,
SHIP-000339,ORD-000493,FedEx,WH-04,Feb 09 2026,14-Feb-2026,2026/02/15,Express,52.23,Carrier Capacity Shortage
SHIP-000340,ORD-001375,XPO Logistics,WH-23,Oct 24 2025,Oct 26 2025,2025-10-24,Rail,25.33,
SHIP-000341,ORD-001781,XPO,WH-24,Feb 25 2025,Feb 27 2025,,Ground,19.53,Carrier Capacity Shortage
SHIP-000342,ORD-001494,ups,WH-49,09-Feb-2025,2025/02/12,11-Feb-2025,Ground,46.13,Weather Disruption
SHIP-000343,ORD-000114,,WH-19,Feb 25 2026,Feb 24 2026,25-Feb-2026,Air,40.26,Weather Disruption
SHIP-000344,ORD-000064,FedEx,WH-11,Nov 28 2025,04-Dec-2025,2025/12/04,Express,53.54,
SHIP-000345,ORD-000749,Maersk Line,Warehouse 27,2025/12/03,2025-12-06,,Ocean,24.12,Carrier Capacity Shortage
SHIP-000346,ORD-000784,DHL,wh34,2026-03-14,2026/03/19,Mar 24 2026,Air,42.03,Documentation Error
SHIP-000347,ORD-000187,aramex,WH-29,2025-09-28,2025-09-30,,Ground,29.27,
SHIP-000348,ORD-000831,XPO Logistics,wh60,Nov 11 2025,2025-11-15,2025-11-15,Rail,25.7,Port Congestion
SHIP-000349,ORD-001491,XPO,wh20,2025-03-10,2025/03/13,2025/03/10,Ground,22.91,Carrier Capacity Shortage
SHIP-000350,ORD-000968,ARAMEX,WH-29,Apr 23 2025,Apr 28 2025,,Express,51.13,
SHIP-000351,ORD-000295,XPO Logistics,WH-22,2025-10-13,2025/10/15,Oct 14 2025,Ground,24.69,Weather Disruption
SHIP-000352,ORD-000390,XPO,WH-35,2025/06/28,2025/07/01,2025-07-01,Ground,28.35,Incorrect Address
SHIP-000353,ORD-000287,usps,WH-24,Apr 21 2026,2026-04-25,2026/05/02,Ground,20.43,Weather Disruption
SHIP-000354,ORD-000301,ARAMEX,wh15,2026-01-01,2026/01/03,Jan 03 2026,Ground,23.91,Vehicle Breakdown
SHIP-000355,ORD-001333,Aramex,WH-02,2026-05-26,Jun 01 2026,May 31 2026,Express,49.16,Weather Disruption
SHIP-000356,ORD-000316,DHL Express,WH-43,2025-04-14,2025/04/18,22-Apr-2025,Air,54.46,Port Congestion
SHIP-000357,ORD-001446,XPO,WH-24,2025/02/05,2025-02-06,14-Feb-2025,Ground,38.47,Customs Clearance Delay
SHIP-000358,ORD-000572,bluedart,WH-51,2025/12/17,22-Dec-2025,2025-12-27,Ground,22.01,Port Congestion
SHIP-000359,ORD-000131,FedEx,Warehouse 26,05-Sep-2025,2025-09-07,Sep 06 2025,Air,44.9,
SHIP-000360,ORD-000688,FedEx,Warehouse 35,2025/11/29,04-Dec-2025,2025-12-04,Ground,32.34,
SHIP-000361,ORD-000190,Aramex,WH-37,2025-10-03,2025/10/07,06-Oct-2025,Express,63.16,
SHIP-000362,ORD-000028,DHL,Warehouse 3,2026-02-26,Mar 02 2026,Mar 02 2026,Air,53.5,
SHIP-000363,ORD-001671,dhl express,wh-35,06-Mar-2025,2025/03/08,,Express,49.92,
SHIP-000364,ORD-000501,U.P.S.,WH-16,01-Jun-2025,2025-06-09,,Air,39.37,Supplier Stock Shortage
SHIP-000365,ORD-000770,ups,wh06,28-Jul-2025,04-Aug-2025,2025/08/04,Ground,23.65,Carrier Capacity Shortage
SHIP-000366,ORD-000620,DHL,WH-03,Dec 14 2025,Dec 16 2025,,Express,58.34,Warehouse Processing Backlog
SHIP-000367,ORD-001814,U.P.S.,WH-26,Jul 17 2025,21-Jul-2025,2025-07-19,Ground,22.04,Supplier Stock Shortage
SHIP-000368,ORD-001550,FedEx,Warehouse 56,2025/09/12,2025-09-17,2025/09/17,Air,55.96,Vehicle Breakdown
SHIP-000369,ORD-000684,maersk,WH-45,05-May-2025,08-May-2025,,Ocean,16.09,
SHIP-000370,ORD-000670,Fed Ex,wh-45,2025-04-27,May 03 2025,2025/05/03,Ground,17.36,Carrier Capacity Shortage
SHIP-000371,ORD-000719,maersk,wh21,Mar 04 2025,07-Mar-2025,05-Mar-2025,Ocean,17.02,
SHIP-000372,ORD-001003,dhl express,WH-50,Apr 22 2026,2026-04-26,2026/04/27,Express,57.69,Port Congestion
SHIP-000373,ORD-001281,bluedart,wh24,2026/03/02,2026-03-05,2026/03/05,Air,43.47,Vehicle Breakdown
SHIP-000374,ORD-001582,Maersk Line,wh-25,24-Aug-2025,26-Aug-2025,,Ocean,20.98,Incorrect Address
SHIP-000375,ORD-001083,USPS,WH-05,2025/12/09,2025-12-09,2025-12-10,Ground,23.62,Vehicle Breakdown
SHIP-000376,ORD-001135,dhl,Warehouse 13,2025-01-15,2025-01-19,2025/01/19,Express,69.18,Warehouse Processing Backlog
SHIP-000377,ORD-001821,Fed Ex,WH-26,2025-07-23,2025/07/25,2025/07/24,Air,54.77,Weather Disruption
SHIP-000378,ORD-001309,XPO Logistics,wh-52,2025-03-23,2025-03-30,2025-03-28,Ground,47.85,
SHIP-000379,ORD-001747,dhl express,WH-37,Mar 07 2026,08-Mar-2026,08-Mar-2026,Express,49.72,Weather Disruption
SHIP-000380,ORD-000326,MAERSK,WH-52,2026-03-08,2026/03/13,Mar 10 2026,Ocean,28.99,Port Congestion
SHIP-000381,ORD-001049,DHL,Warehouse 8,May 17 2025,2025-05-19,2025/05/23,Express,47.57,Weather Disruption
SHIP-000382,ORD-000413,DHL Express,WH-19,2025/07/20,2025-07-21,21-Jul-2025,Air,55.55,
SHIP-000383,ORD-001624,DHL Express,wh03,08-Oct-2025,2025-10-15,2025/10/15,Air,41.24,Vehicle Breakdown
SHIP-000384,ORD-001385,U.P.S.,WH-52,2025/12/22,2025-12-24,,Ground,29.14,Weather Disruption
SHIP-000385,ORD-001319,aramex,wh44,2025/08/29,Aug 30 2025,,Ground,26.06,
SHIP-000386,ORD-000018,maersk,WH-05,2025-04-04,2025-04-08,2025-04-06,Ocean,21.82,Weather Disruption
SHIP-000387,ORD-001437,dhl express,WH-45,Sep 24 2025,27-Sep-2025,28-Sep-2025,Air,40.3,Warehouse Processing Backlog
SHIP-000388,ORD-000411,bluedart,WH-17,Aug 17 2025,2025-08-21,Aug 20 2025,Ground,28.56,Port Congestion
SHIP-000389,ORD-000588,dhl express,wh41,Mar 21 2025,2025/03/24,25-Mar-2025,Air,41.35,Documentation Error
SHIP-000390,ORD-000456,BlueDart,WH-02,2025-07-10,Jul 17 2025,2025-07-16,Air,62.22,Supplier Stock Shortage
SHIP-000391,ORD-001034,ups,WH-20,May 12 2026,2026-05-14,2026-05-13,Air,44.83,Supplier Stock Shortage
SHIP-000392,ORD-000965,Fed Ex,WH-11,2026-05-20,2026/05/20,2026-05-22,Express,53.4,Documentation Error
SHIP-000393,ORD-001796,Aramex,wh30,06-Jun-2025,12-Jun-2025,2025/06/13,Ground,33.83,Supplier Stock Shortage
SHIP-000394,ORD-000119,ARAMEX,wh52,06-Mar-2026,Mar 11 2026,2026-03-09,Ground,24.9,Vehicle Breakdown
SHIP-000395,ORD-000455,bluedart,WH-18,20-May-2026,2026-05-22,,Air,49.0,Incorrect Address
SHIP-000396,ORD-000055,FEDEX,wh21,Oct 14 2025,2025-10-18,2025/10/17,Ground,27.7,
SHIP-000397,ORD-001118,ups,WH-55,2025/10/23,2025/10/25,2025/10/26,Ground,19.71,Documentation Error
SHIP-000398,ORD-001765,Blue Dart,Warehouse 4,2025-09-14,Sep 17 2025,2025-09-17,Ground,20.77,
SHIP-000399,ORD-000361,U.P.S.,wh14,2026-05-04,2026/05/09,May 10 2026,Air,49.2,Weather Disruption
SHIP-000400,ORD-000181,Blue Dart,WH-19,24-May-2025,25-May-2025,2025-05-25,Air,63.17,
SHIP-000401,ORD-000260,DHL Express,Warehouse 29,2025-01-14,2025/01/17,,Air,53.89,Labor Shortage
SHIP-000402,ORD-001808,,wh-03,2026-02-09,2026-02-15,2026-02-14,Air,54.47,Warehouse Processing Backlog
SHIP-000403,ORD-001181,DHL,Warehouse 18,2025/11/27,2025/12/03,Dec 01 2025,Air,58.83,
SHIP-000404,ORD-001433,UPS,wh54,Feb 12 2025,Feb 14 2025,2025-02-15,Air,56.0,Warehouse Processing Backlog
SHIP-000405,ORD-000211,dhl,WH-50,2025-03-18,2025-03-18,,Air,53.47,Supplier Stock Shortage
SHIP-000406,ORD-001396,Maersk Line,Warehouse 33,29-Jan-2026,2026-02-02,2026-02-01,Ocean,18.56,Labor Shortage
SHIP-000407,ORD-001745,UPS,WH-17,16-Mar-2025,Mar 18 2025,2025-03-18,Ground,16.0,
SHIP-000408,ORD-000377,maersk,WH-09,2025-08-29,2025/08/30,31-Aug-2025,Ocean,14.41,Warehouse Processing Backlog
SHIP-000409,ORD-001418,ups,wh48,2026/05/18,2026-05-26,2026-05-23,Air,43.91,
SHIP-000410,ORD-000863,,WH-60,2025/08/24,30-Aug-2025,Aug 28 2025,Ground,32.98,Incorrect Address
SHIP-000411,ORD-000699,U.P.S.,WH-50,2025/09/06,2025-09-10,2025-09-08,Air,52.35,Port Congestion
SHIP-000412,ORD-000024,ARAMEX,wh20,Jan 21 2026,2026/01/25,2026-01-23,Express,46.26,Port Congestion
SHIP-000413,ORD-000738,U.P.S.,WH-08,2026-05-29,2026-06-03,,Ground,24.73,
SHIP-000414,ORD-000701,dhl express,wh59,Jun 01 2026,2026/06/08,,Air,40.0,
SHIP-000415,ORD-001302,dhl,wh21,Jan 30 2026,2026/02/01,Feb 02 2026,Express,54.53,Weather Disruption
SHIP-000416,ORD-000152,U.P.S.,WH-12,2026/01/26,2026/01/26,2026-01-26,Ground,32.26,Incorrect Address
SHIP-000417,ORD-000347,fedex,Warehouse 14,2025/10/25,2025/10/28,2025-10-29,Ground,28.33,Supplier Stock Shortage
SHIP-000418,ORD-001517,bluedart,wh-19,2026/02/05,2026-02-12,11-Feb-2026,Air,46.49,
SHIP-000419,ORD-001226,FedEx,WH-54,2025-09-26,Oct 01 2025,Sep 30 2025,Ground,25.69,Weather Disruption
SHIP-000420,ORD-001206,FedEx,WH-13,2025-02-13,Feb 17 2025,Feb 17 2025,Express,51.85,Carrier Capacity Shortage
SHIP-000421,ORD-001587,Fed Ex,WH-48,2025-09-20,2025-09-27,Sep 27 2025,Express,49.43,
SHIP-000422,ORD-001412,maersk,wh07,2025-08-16,Aug 19 2025,2025-08-18,Ocean,15.54,
SHIP-000423,ORD-000143,USPS,WH-44,26-Mar-2025,2025/03/27,2025-03-30,Ground,31.26,Port Congestion
SHIP-000424,ORD-000229,usps,WH-32,03-Mar-2025,2025-03-11,Mar 15 2025,Ground,34.24,Carrier Capacity Shortage
SHIP-000425,ORD-000214,maersk,wh21,2026/02/06,2026-02-10,2026-02-09,Ocean,26.78,
SHIP-000426,ORD-001465,dhl,WH-02,27-Nov-2025,Nov 30 2025,2025/11/29,Air,54.65,
SHIP-000427,ORD-001038,dhl express,wh-08,2026-05-16,2026/05/17,May 18 2026,Air,43.12,Carrier Capacity Shortage
SHIP-000428,ORD-001650,Fed Ex,WH-07,2025-03-11,18-Mar-2025,2025/03/19,Ground,22.96,Weather Disruption
SHIP-000429,ORD-000695,UPS,WH-02,2026/05/13,2026-05-19,May 17 2026,Air,47.52,Warehouse Processing Backlog
SHIP-000430,ORD-000453,FEDEX,WH-17,2025/03/25,Mar 26 2025,2025-03-27,Express,52.76,Labor Shortage
SHIP-000431,ORD-001184,Blue Dart,WH-14,2025-11-17,Nov 23 2025,Nov 24 2025,Ground,19.45,Weather Disruption
SHIP-000432,ORD-000016,BlueDart,WH-10,2026-03-28,2026/03/28,2026-03-29,Air,50.04,Port Congestion
SHIP-000433,ORD-001661,,wh19,2025-03-05,12-Mar-2025,11-Mar-2025,Air,49.77,
SHIP-000434,ORD-001367,U.S.P.S.,wh29,2025-02-15,2025-02-18,2025/02/18,Ground,22.79,Weather Disruption
SHIP-000435,ORD-001691,USPS,wh05,2026-02-12,Feb 15 2026,2026-02-15,Ground,36.87,Incorrect Address
SHIP-000436,ORD-001509,dhl express,WH-58,2025-07-12,2025-07-13,2025-07-13,Express,53.0,
SHIP-000437,ORD-001818,Fed Ex,wh57,2025-05-26,2025/05/29,28-May-2025,Ground,23.91,Labor Shortage
SHIP-000438,ORD-000624,dhl,wh54,2025-03-08,2025/03/15,2025/03/13,Express,48.98,
SHIP-000439,ORD-000312,U.P.S.,WH-15,2025-08-20,2025/08/26,Aug 24 2025,Air,53.58,
SHIP-000440,ORD-001145,Fed Ex,Warehouse 28,Sep 07 2025,2025-09-08,08-Sep-2025,Ground,33.85,
SHIP-000441,ORD-000035,ups,WH-51,May 31 2025,Jun 02 2025,31-May-2025,Air,41.6,Warehouse Processing Backlog
SHIP-000442,ORD-000216,dhl express,WH-43,2025-06-29,2025-07-02,2025-07-02,Express,58.73,Carrier Capacity Shortage
SHIP-000443,ORD-001075,,Warehouse 47,2025-05-22,2025-05-28,27-May-2025,Express,53.49,
SHIP-000444,ORD-001607,Blue Dart,WH-10,29-Apr-2026,2026-04-28,Apr 29 2026,Ground,30.1,Labor Shortage
